Latitude,Longitude,CreatedDate
13.6827488,100.7450027,2026-04-22 12:20:56.1634396 +07:00
13.6888046,100.7494202,2026-04-22 12:24:46.1708539 +07:00
13.6888685,100.7494583,2026-04-22 12:24:51.1656001 +07:00
13.6891460,100.7495575,2026-04-22 12:24:56.6543262 +07:00
13.6892223,100.7495728,2026-04-22 12:25:01.1623217 +07:00
13.6895151,100.7498016,2026-04-22 12:25:06.1877235 +07:00
13.6895933,100.7498703,2026-04-22 12:25:11.6763020 +07:00
13.6897039,100.7499542,2026-04-22 12:25:16.1742394 +07:00
13.6898785,100.7500381,2026-04-22 12:25:21.6340157 +07:00
13.6902142,100.7501221,2026-04-22 12:25:26.2040814 +07:00
13.6903219,100.7501526,2026-04-22 12:25:31.1563717 +07:00
13.6906767,100.7501373,2026-04-22 12:25:36.6691437 +07:00
13.6908674,100.7500610,2026-04-22 12:25:41.1656324 +07:00
13.6911631,100.7500305,2026-04-22 12:25:46.1744542 +07:00
13.6912003,100.7500381,2026-04-22 12:25:51.1656233 +07:00
13.6912174,100.7500458,2026-04-22 12:25:56.1576401 +07:00
13.6912708,100.7500992,2026-04-22 12:26:01.1653977 +07:00
13.6912603,100.7503586,2026-04-22 12:26:06.1781385 +07:00
13.6912365,100.7504501,2026-04-22 12:26:11.1656514 +07:00
13.6910877,100.7508011,2026-04-22 12:26:16.6574293 +07:00
13.6910019,100.7512283,2026-04-22 12:26:21.1739839 +07:00
13.6909294,100.7515106,2026-04-22 12:26:26.6988915 +07:00
13.6908340,100.7519073,2026-04-22 12:26:31.1648214 +07:00
13.6907644,100.7521820,2026-04-22 12:26:36.6349376 +07:00
13.6906748,100.7525864,2026-04-22 12:26:41.1746158 +07:00
13.6906061,100.7528610,2026-04-22 12:26:46.6260458 +07:00
13.6904240,100.7531967,2026-04-22 12:26:51.1736803 +07:00
13.6902180,100.7533569,2026-04-22 12:26:56.6662839 +07:00
13.6899500,100.7535782,2026-04-22 12:27:01.1745401 +07:00
13.6898994,100.7537384,2026-04-22 12:27:06.1995826 +07:00
13.6898708,100.7538757,2026-04-22 12:27:11.1638994 +07:00
13.6898508,100.7539978,2026-04-22 12:27:16.1554700 +07:00
13.6898165,100.7540665,2026-04-22 12:27:21.1676448 +07:00
13.6896620,100.7541733,2026-04-22 12:27:26.6710124 +07:00
13.6894798,100.7541275,2026-04-22 12:27:31.1636423 +07:00
13.6891308,100.7540283,2026-04-22 12:27:36.1562754 +07:00
13.6889124,100.7539749,2026-04-22 12:27:41.1630069 +07:00
13.6886320,100.7539063,2026-04-22 12:27:46.5712334 +07:00
13.6884031,100.7538528,2026-04-22 12:27:51.1707999 +07:00
13.6880283,100.7537537,2026-04-22 12:27:56.1593559 +07:00
13.6878433,100.7537079,2026-04-22 12:28:01.6197260 +07:00
13.6875629,100.7536240,2026-04-22 12:28:06.1589459 +07:00
13.6874180,100.7536545,2026-04-22 12:28:11.1710033 +07:00
13.6873808,100.7537766,2026-04-22 12:28:16.1829861 +07:00
13.6873779,100.7537766,2026-04-22 12:28:21.7508502 +07:00
13.6873779,100.7537766,2026-04-22 12:28:26.1604065 +07:00
13.6873779,100.7537766,2026-04-22 12:28:31.7508989 +07:00
13.6873789,100.7537766,2026-04-22 12:28:36.1604307 +07:00
